id_centro_poblado,nombre_centro_poblado,municipio,departamento
5308017,LOMA DE LOS OCHOA,GIRARDOTA,ANTIOQUIA
5310000,GÓMEZ PLATA,GÓMEZ PLATA,ANTIOQUIA
5310001,EL SALTO,GÓMEZ PLATA,ANTIOQUIA
5310002,SAN MATÍAS,GÓMEZ PLATA,ANTIOQUIA
5310004,VEGA DE BOTERO,GÓMEZ PLATA,ANTIOQUIA
5313000,GRANADA,GRANADA,ANTIOQUIA
5313001,SANTA ANA,GRANADA,ANTIOQUIA
5313004,LOS MEDIOS,GRANADA,ANTIOQUIA
5315000,GUADALUPE,GUADALUPE,ANTIOQUIA
5315002,GUANTEROS,GUADALUPE,ANTIOQUIA
5315007,GUADALUPE IV,GUADALUPE,ANTIOQUIA
5315008,BARRIO NUEVO,GUADALUPE,ANTIOQUIA
5315009,EL MACHETE,GUADALUPE,ANTIOQUIA
5318000,GUARNE,GUARNE,ANTIOQUIA
5318006,CHAPARRAL,GUARNE,ANTIOQUIA
5318007,SAN IGNACIO,GUARNE,ANTIOQUIA
5321000,GUATAPÉ,GUATAPÉ,ANTIOQUIA
5321001,EL ROBLE,GUATAPÉ,ANTIOQUIA
5347000,HELICONIA,HELICONIA,ANTIOQUIA
5347001,ALTO DEL CORRAL,HELICONIA,ANTIOQUIA
5347002,PUEBLITO,HELICONIA,ANTIOQUIA
5347003,LLANOS DE SAN JOSÉ,HELICONIA,ANTIOQUIA
5347009,GUAMAL,HELICONIA,ANTIOQUIA
5353000,HISPANIA,HISPANIA,ANTIOQUIA
5360000,ITAGÜÍ,ITAGÜÍ,ANTIOQUIA
5360001,LOS GÓMEZ,ITAGÜÍ,ANTIOQUIA
5360003,EL AJIZAL,ITAGÜÍ,ANTIOQUIA
5360006,EL PEDREGAL,ITAGÜÍ,ANTIOQUIA
5360012,EL PORVENIR,ITAGÜÍ,ANTIOQUIA
5360013,EL PROGRESO,ITAGÜÍ,ANTIOQUIA
5360014,LA MARÍA,ITAGÜÍ,ANTIOQUIA
5361000,ITUANGO,ITUANGO,ANTIOQUIA
